,location,total_sqft,bath,price,BHK,loaction
2176,Kaggadasapura,1100.0,2.0,58.0,2,Kaggadasapura
2177,Seegehalli,1118.0,2.0,37.5,2,Seegehalli
2178,Kanakapura,1476.0,3.0,75.0,3,Kanakapura
2179,other,1215.0,2.0,46.5,3,Roopena Agrahara
2180,Ambalipura,1332.0,2.0,79.0,2,Ambalipura
2181,Hennur Road,1350.0,2.0,49.0,2,Hennur Road
2182,Haralur Road,1243.0,2.0,46.0,2,Haralur Road
2183,NGR Layout,1105.0,2.0,49.73,2,NGR Layout
2184,Kasavanhalli,1200.0,2.0,50.0,2,Kasavanhalli
2185,Ramagondanahalli,1251.0,2.0,47.4,2,Ramagondanahalli
2186,Kambipura,883.0,2.0,45.0,2,Kambipura
2187,Pai Layout,1400.0,2.0,67.0,3,Pai Layout
2188,Hegde Nagar,1703.0,3.0,113.0,3,Hegde Nagar
2189,Varthur,1250.0,3.0,71.0,3,Varthur
2190,Jigani,933.0,2.0,43.0,2,Jigani
2191,other,461.82,1.0,31.7,1,sankeswari
2192,Brookefield,1262.0,2.0,75.0,2,Brookefield
2193,Yelahanka,915.0,2.0,48.0,2,Yelahanka
2194,Panathur,1370.0,2.0,61.5,3,Panathur
2195,Malleshpalya,1210.0,2.0,55.0,2,Malleshpalya
2196,other,1500.0,2.0,85.0,3,T c palya
2197,other,1065.0,2.0,50.0,2,Govindraja Nagar
2198,Ramamurthy Nagar,1515.0,3.0,65.0,3,Ramamurthy Nagar
2199,Sarjapura - Attibele Road,1800.0,4.0,110.0,4,Sarjapura - Attibele Road
2200,Thanisandra,1445.0,2.0,40.31,3,Thanisandra
2201,Uttarahalli,1300.0,2.0,55.0,3,Uttarahalli
2202,Vijayanagar,989.0,2.0,60.0,2,Vijayanagar
2203,Jakkur,1300.0,2.0,85.0,2,Jakkur
2204,Chandapura,1185.0,2.0,30.22,3,Chandapura
2205,Marathahalli,1045.0,2.0,60.0,2,Marathahalli
2206,other,1205.0,2.0,42.18,2,Virat Nagar
2207,other,1260.0,2.0,75.0,2,Chennammanakere Achukattu
2208,Ulsoor,1500.0,2.0,125.0,3,Ulsoor
2209,Bommanahalli,1250.0,2.0,42.5,3,Bommanahalli
2210,other,1199.0,2.0,50.0,2,"Maragondana Halli, kr puram, old madras road"
2211,Hennur Road,1385.0,2.0,83.09,2,Hennur Road
2212,Lakshminarayana Pura,1149.0,2.0,75.0,2,Lakshminarayana Pura
2213,Hulimavu,1818.0,3.0,135.0,3,Hulimavu
2214,other,1070.0,2.0,33.0,2,Volagerekallahalli
2215,Nagarbhavi,1350.0,2.0,54.6,3,Nagarbhavi
2216,Chandapura,630.0,1.0,27.0,2,Chandapura
2217,Hoodi,1430.0,2.0,113.0,2,Hoodi
2218,Sarjapur  Road,1084.0,2.0,55.0,2,Sarjapur  Road
2219,Hennur Road,1186.0,2.0,56.0,3,Hennur Road
2220,Kengeri,1255.0,2.0,50.0,2,Kengeri
2221,Hosa Road,1541.0,3.0,69.84,3,Hosa Road
2222,Raja Rajeshwari Nagar,1295.0,2.0,70.0,2,Raja Rajeshwari Nagar
2223,7th Phase JP Nagar,1370.0,2.0,54.79,3,7th Phase JP Nagar
2224,Electronic City,1100.0,2.0,40.0,2,Electronic City
2225,7th Phase JP Nagar,1370.0,2.0,54.79,3,7th Phase JP Nagar
2226,JP Nagar,1200.0,2.0,62.0,2,JP Nagar
2227,Sarjapur  Road,1220.0,3.0,62.0,3,Sarjapur  Road
2228,Somasundara Palya,1178.0,2.0,73.0,2,Somasundara Palya
2229,Dasanapura,1286.0,3.0,61.44,3,Dasanapura
2230,Begur Road,1160.0,2.0,42.0,2,Begur Road
2231,Jigani,918.0,2.0,55.0,2,Jigani
2232,Electronic City,1563.0,3.0,91.84,3,Electronic City
2233,other,1326.0,2.0,62.17,2,Govindpura
2234,Begur Road,1240.0,2.0,39.06,2,Begur Road
2235,Kaggadasapura,1325.0,2.0,50.0,2,Kaggadasapura
2236,Sonnenahalli,1100.0,2.0,44.0,2,Sonnenahalli
2237,Gollarapalya Hosahalli,1605.0,3.0,50.0,3,Gollarapalya Hosahalli
2238,Somasundara Palya,1260.0,2.0,60.0,2,Somasundara Palya
2239,Hoodi,1553.0,3.0,83.09,3,Hoodi
2240,Whitefield,1280.0,2.0,52.0,2,Whitefield
2241,Hebbal,1550.0,2.0,75.0,3,Hebbal
2242,Murugeshpalya,1550.0,3.0,74.0,3,Murugeshpalya
2243,Electronics City Phase 1,1515.0,2.0,80.91,3,Electronics City Phase 1
2244,Hosa Road,1332.0,2.0,86.12,3,Hosa Road
2245,Electronic City,1652.0,3.0,70.0,3,Electronic City
2246,Hegde Nagar,1570.0,3.0,105.0,3,Hegde Nagar
2247,Sector 2 HSR Layout,794.0,1.0,60.0,1,Sector 2 HSR Layout
2248,Seegehalli,1200.0,2.0,62.0,3,Seegehalli
2249,Sarjapur  Road,1750.0,3.0,110.0,3,Sarjapur  Road
2250,Hebbal,1053.0,2.0,48.0,2,Hebbal
2251,Kanakpura Road,1100.0,3.0,53.0,3,Kanakpura Road
2252,Kadubeesanahalli,1665.0,3.0,70.0,3,Kadubeesanahalli
2253,Bommasandra,1447.0,3.0,80.0,3,Bommasandra
2254,Balagere,1012.0,2.0,75.0,2,Balagere
2255,Malleshpalya,1900.0,3.0,60.0,3,Malleshpalya
2256,Narayanapura,1308.0,2.0,92.66,2,Narayanapura
2257,Electronic City,1000.0,2.0,22.0,2,Electronic City
2258,Gunjur,1140.0,2.0,49.11,2,Gunjur
2259,Uttarahalli,1250.0,2.0,55.0,3,Uttarahalli
2260,Kanakapura,1290.0,3.0,45.15,3,Kanakapura
2261,Ambedkar Nagar,1424.0,2.0,90.0,2,Ambedkar Nagar
2262,Garudachar Palya,1320.0,2.0,60.6,3,Garudachar Palya
2263,Akshaya Nagar,1662.0,3.0,85.5,3,Akshaya Nagar
2264,Begur Road,1200.0,2.0,45.0,2,Begur Road
2265,Garudachar Palya,1295.0,2.0,59.5,3,Garudachar Palya
2266,Battarahalli,1777.0,3.0,100.0,3,Battarahalli
2267,Kadugodi,1900.0,3.0,108.0,3,Kadugodi
2268,Anandapura,1576.0,3.0,59.1,3,Anandapura
2269,Sompura,1020.0,2.0,41.0,2,Sompura
2270,Raja Rajeshwari Nagar,648.0,1.0,31.75,1,Raja Rajeshwari Nagar
2271,Neeladri Nagar,1167.0,2.0,38.0,3,Neeladri Nagar
2272,Hoodi,1220.0,2.0,50.89,2,Hoodi
2273,Vittasandra,1259.0,2.0,67.4,2,Vittasandra
2274,8th Phase JP Nagar,1800.0,3.0,80.0,3,8th Phase JP Nagar
2275,Bannerghatta,1665.0,3.0,110.0,3,Bannerghatta
2276,other,1234.0,2.0,61.0,2,"Hoodi Circle,"
2277,Mysore Road,1340.0,2.0,64.31,3,Mysore Road
2278,Banashankari,1170.0,2.0,46.79,2,Banashankari
2279,Electronics City Phase 1,995.0,2.0,46.0,2,Electronics City Phase 1
2280,Old Airport Road,1075.0,2.0,60.0,2,Old Airport Road
2281,Electronic City,1025.0,2.0,54.5,2,Electronic City
2282,Mallasandra,1325.0,2.0,70.0,2,Mallasandra
2283,Kadugodi,1314.0,2.0,68.2,2,Kadugodi
2284,Yelahanka,1026.0,2.0,41.0,2,Yelahanka
2285,other,1200.0,3.0,66.0,3,Syndicate Bank Colony
2286,KR Puram,1192.5,2.0,51.22,2,KR Puram
2287,Hebbal,1420.0,2.0,99.39,2,Hebbal
2288,JP Nagar,1300.0,2.0,90.87,2,JP Nagar
2289,Rajaji Nagar,1216.0,2.0,97.16,2,Rajaji Nagar
2290,Begur,1559.0,3.0,63.0,3,Begur
2291,Harlur,1290.0,2.0,87.0,2,Harlur
2292,Whitefield,905.0,1.0,55.0,1,Whitefield
2293,other,1069.0,2.0,55.0,2,Nanjappa Layout
2294,Sarjapura - Attibele Road,829.0,2.0,22.8,2,Sarjapura - Attibele Road
2295,Sarjapur  Road,1300.0,3.0,60.0,3,Sarjapur  Road
2296,Channasandra,1115.0,2.0,33.45,2,Channasandra
2297,Marathahalli,1305.0,2.0,69.0,3,Marathahalli
2298,Kanakpura Road,1252.0,2.0,56.32,2,Kanakpura Road
2299,Whitefield,1200.0,2.0,46.13,2,Whitefield
2300,Koramangala,1750.0,3.0,130.0,3,Koramangala
2301,other,1375.0,2.0,105.0,2,BEL Layout
2302,Subramanyapura,1313.0,2.0,66.5,2,Subramanyapura
2303,other,1693.0,3.0,108.0,3,Akshayanagara East
2304,other,1160.0,2.0,41.75,2,JCR Layout
2305,Subramanyapura,1255.0,2.0,79.0,3,Subramanyapura
2306,other,900.0,2.0,45.0,2,Bellari Road
2307,Yelahanka New Town,1700.0,3.0,90.0,3,Yelahanka New Town
2308,Uttarahalli,1700.0,3.0,88.0,3,Uttarahalli
2309,Harlur,1749.0,3.0,115.0,3,Harlur
2310,other,1175.0,2.0,48.0,2,Varanasi
2311,Akshaya Nagar,1280.0,2.0,60.0,2,Akshaya Nagar
2312,other,1200.0,2.0,50.0,2,Abbaiah Reddy Layout
2313,Ramagondanahalli,1610.0,2.0,115.0,3,Ramagondanahalli
2314,Electronic City,1070.0,2.0,46.0,2,Electronic City
2315,TC Palaya,1200.0,2.0,66.0,2,TC Palaya
2316,9th Phase JP Nagar,1127.0,2.0,50.0,2,9th Phase JP Nagar
2317,Indira Nagar,1210.0,2.0,102.0,2,Indira Nagar
2318,other,600.0,2.0,23.0,2,Jyothi Nagar
2319,other,1364.0,2.0,70.0,2,Tata Nagar
2320,other,1150.0,2.0,77.5,3,RK Layout 2nd Stage
2321,other,1146.0,2.0,39.5,2,Tirumanahalli
2322,Magadi Road,1345.0,2.0,55.0,2,Magadi Road
2323,other,1110.0,2.0,41.0,2,Mylasandra
2324,Kengeri,750.0,2.0,36.0,2,Kengeri
2325,other,1156.0,2.0,49.5,2,Motappa Layout
2326,Pattandur Agrahara,1247.0,2.0,59.8,2,Pattandur Agrahara
2327,other,1058.0,2.0,60.0,2,Mangammanapalya
2328,Kaggalipura,950.0,2.0,48.0,2,Kaggalipura
2329,Vijayanagar,1520.0,2.0,103.0,3,Vijayanagar
2330,Marathahalli,1215.0,2.0,58.86,2,Marathahalli
2331,other,900.0,1.0,30.0,1,Raghuvanahalli
2332,Thanisandra,1050.0,2.0,46.0,2,Thanisandra
2333,other,1500.0,2.0,65.0,3,MCECHS  layout
2334,other,1400.0,2.0,65.0,2,Geddalahalli
2335,Bommasandra,920.0,2.0,37.46,2,Bommasandra
2336,Sarjapur  Road,1200.0,3.0,70.0,3,Sarjapur  Road
2337,HSR Layout,1140.0,2.0,46.0,2,HSR Layout
2338,Haralur Road,1464.0,2.0,56.0,2,Haralur Road
2339,Electronics City Phase 1,1555.0,2.0,82.0,3,Electronics City Phase 1
2340,Whitefield,1150.0,2.0,55.0,2,Whitefield
2341,Kadubeesanahalli,970.0,2.0,35.0,2,Kadubeesanahalli
2342,other,1166.0,2.0,53.0,2,Seetharampalya
2343,Electronic City,1350.0,3.0,58.0,3,Electronic City
2344,other,900.0,2.0,46.0,2,Mariyannapalya
2345,7th Phase JP Nagar,1300.0,2.0,52.0,3,7th Phase JP Nagar
2346,other,1190.0,3.0,55.0,3,Kanaka Nagar
2347,Kodichikkanahalli,1495.0,2.0,75.0,3,Kodichikkanahalli
2348,Banashankari Stage III,1350.0,2.0,68.0,3,Banashankari Stage III
2349,Green Glen Layout,940.0,2.0,56.8,2,Green Glen Layout
2350,Raja Rajeshwari Nagar,1100.0,2.0,55.0,2,Raja Rajeshwari Nagar
2351,Kaikondrahalli,1300.0,2.0,61.0,2,Kaikondrahalli
2352,Hoodi,1105.0,2.0,46.37,2,Hoodi
2353,Yelahanka,1517.0,3.0,76.3,3,Yelahanka
2354,Jalahalli,1615.0,3.0,89.75,3,Jalahalli
2355,other,1500.0,3.0,65.0,3,MCECHS  layout
2356,Mysore Road,1082.0,3.0,50.5,3,Mysore Road
2357,Marathahalli,1365.0,2.0,73.0,2,Marathahalli
2358,Electronic City,1000.0,2.0,25.0,2,Electronic City
2359,CV Raman Nagar,1392.0,2.0,98.0,2,CV Raman Nagar
2360,Kodigehalli,1086.0,2.0,33.66,2,Kodigehalli
2361,Hennur Road,1586.0,3.0,93.94,3,Hennur Road
2362,Hennur,1100.0,2.0,60.0,2,Hennur
2363,Electronic City Phase II,1065.0,2.0,30.75,2,Electronic City Phase II
2364,TC Palaya,1500.0,2.0,120.0,3,TC Palaya
2365,7th Phase JP Nagar,1575.0,2.0,120.0,3,7th Phase JP Nagar
2366,other,820.0,2.0,24.0,2,Nelamangala
2367,Gubbalala,1745.0,3.0,110.0,3,Gubbalala
2368,Nagarbhavi,1223.0,2.0,60.0,2,Nagarbhavi
2369,Ananth Nagar,1200.0,2.0,65.0,3,Ananth Nagar
2370,Basaveshwara Nagar,1200.0,2.0,90.0,2,Basaveshwara Nagar
2371,Binny Pete,665.0,1.0,46.08,1,Binny Pete
2372,Bharathi Nagar,1351.0,2.0,70.0,2,Bharathi Nagar
2373,Hebbal,1355.0,3.0,83.87,3,Hebbal
2374,Thanisandra,1588.0,3.0,75.55,3,Thanisandra
2375,Amruthahalli,900.0,2.0,60.0,2,Amruthahalli
2376,Panathur,1370.0,2.0,75.0,3,Panathur
2377,Whitefield,1500.0,3.0,71.8,3,Whitefield
2378,Kanakpura Road,1100.0,3.0,53.0,3,Kanakpura Road
2379,Hoodi,1247.0,2.0,53.0,2,Hoodi
2380,Balagere,1020.07,2.0,68.38,2,Balagere
2381,other,1033.0,2.0,32.0,3,Gunjur Palya
2382,other,1460.0,2.0,73.0,3,B Narayanapura
2383,Garudachar Palya,1150.0,2.0,52.8,2,Garudachar Palya
2384,Babusapalaya,1141.0,2.0,46.0,2,Babusapalaya
2385,Hosa Road,1665.0,2.0,125.0,3,Hosa Road
2386,Kanakapura,1295.0,2.0,64.0,2,Kanakapura
2387,Haralur Road,1230.0,2.0,78.0,2,Haralur Road
2388,other,1080.0,2.0,75.0,3,Anand Nagar
2389,Kaggalipura,1000.0,2.0,60.0,2,Kaggalipura
2390,Whitefield,630.5,1.0,32.79,1,Whitefield
2391,Rayasandra,1708.0,3.0,75.0,3,Rayasandra
2392,Thanisandra,1697.0,3.0,115.0,3,Thanisandra
2393,Hosa Road,615.0,1.0,28.29,1,Hosa Road
2394,Banashankari,1350.0,2.0,83.0,3,Banashankari
2395,Kanakpura Road,1530.0,2.0,66.4,3,Kanakpura Road
2396,Jalahalli,1083.0,2.0,32.49,2,Jalahalli
2397,Gottigere,1460.0,2.0,65.0,3,Gottigere
2398,Babusapalaya,1084.0,2.0,58.0,2,Babusapalaya
2399,Bommasandra,1035.0,2.0,41.43,2,Bommasandra
2400,Hosur Road,460.0,1.0,21.0,1,Hosur Road
2401,Whitefield,1285.0,2.0,55.9,2,Whitefield
2402,Sarjapur,1200.0,3.0,78.0,3,Sarjapur
2403,other,1070.0,2.0,35.0,2,Raghuvanahalli
2404,Hegde Nagar,1801.0,3.0,140.0,3,Hegde Nagar
2405,Whitefield,1697.0,3.0,115.0,3,Whitefield
2406,AECS Layout,1199.0,2.0,65.0,2,AECS Layout
2407,Mysore Road,1340.0,2.0,64.31,3,Mysore Road
2408,other,1125.0,2.0,75.0,2,Wilson Garden
2409,Anandapura,1200.0,2.0,67.0,2,Anandapura
2410,Subramanyapura,1050.0,2.0,41.0,2,Subramanyapura
2411,Nagarbhavi,956.0,2.0,49.0,2,Nagarbhavi
2412,Sarjapur,1000.0,2.0,30.0,2,Sarjapur
2413,other,1596.0,3.0,95.0,3,Dooravani Nagar
2414,Kanakpura Road,1296.0,2.0,89.06,2,Kanakpura Road
2415,other,1639.0,3.0,123.0,3,Challaghatta
2416,Electronic City Phase II,1219.0,2.0,61.25,2,Electronic City Phase II
2417,Uttarahalli,1200.0,3.0,50.0,3,Uttarahalli
2418,Bannerghatta Road,1218.0,2.0,73.0,2,Bannerghatta Road
2419,other,920.0,2.0,37.0,2,Nyanappana Halli
2420,2nd Phase Judicial Layout,525.0,1.0,26.0,1,2nd Phase Judicial Layout
2421,Bannerghatta Road,1427.0,2.0,48.51,3,Bannerghatta Road
2422,Kothannur,1270.0,3.0,45.0,3,Kothannur
2423,Ramagondanahalli,920.0,2.0,65.0,2,Ramagondanahalli
2424,Ramamurthy Nagar,1355.0,2.0,40.0,3,Ramamurthy Nagar
2425,Lingadheeranahalli,1530.0,2.0,90.0,3,Lingadheeranahalli
2426,other,1372.0,2.0,90.0,3,Gokula Extension
2427,other,885.0,2.0,40.0,2,Hoysalanagar
2428,Yelahanka,600.0,2.0,27.0,2,Yelahanka
2429,Kanakpura Road,1339.0,2.0,62.0,2,Kanakpura Road
2430,Whitefield,1130.0,2.0,36.0,2,Whitefield
2431,Uttarahalli,1085.0,2.0,43.0,2,Uttarahalli
2432,Yeshwanthpur,1430.0,3.0,72.0,3,Yeshwanthpur
2433,Bhoganhalli,1451.5,4.0,121.0,4,Bhoganhalli
2434,other,1490.0,2.0,59.6,3,AGS Layout
2435,other,1650.0,4.0,99.0,4,Vishwanatha Nagenahalli
2436,Bellandur,1286.0,2.0,57.0,2,Bellandur
2437,other,925.0,2.0,63.0,2,KR Garden
2438,Haralur Road,1000.0,2.0,44.0,2,Haralur Road
2439,Whitefield,1215.0,2.0,39.0,2,Whitefield
2440,other,1200.0,3.0,95.0,4,Kanakadasa Layout
2441,Lakshminarayana Pura,1336.0,2.0,100.0,2,Lakshminarayana Pura
2442,Yeshwanthpur,673.0,1.0,36.85,1,Yeshwanthpur
2443,Anandapura,1200.0,2.0,58.0,2,Anandapura
2444,other,1200.0,2.0,79.0,2,Mallathahalli
2445,Sector 2 HSR Layout,1143.0,2.0,65.0,2,Sector 2 HSR Layout
2446,Kanakpura Road,1470.0,2.0,61.74,2,Kanakpura Road
2447,Marathahalli,1785.0,3.0,94.0,3,Marathahalli
2448,Kothanur,1460.0,3.0,71.0,3,Kothanur
2449,Kasturi Nagar,1500.0,2.0,80.0,3,Kasturi Nagar
2450,Chikkalasandra,1230.0,2.0,48.0,2,Chikkalasandra
2451,Yelahanka New Town,650.0,1.0,20.0,1,Yelahanka New Town
2452,Benson Town,1480.0,2.0,120.0,2,Benson Town
2453,Thanisandra,1220.0,2.0,43.92,2,Thanisandra
2454,other,1570.0,3.0,115.0,3,Dooravani Nagar
2455,Mallasandra,1665.0,3.0,86.91,3,Mallasandra
2456,Ramamurthy Nagar,1100.0,2.0,68.0,2,Ramamurthy Nagar
2457,Kathriguppe,1350.0,2.0,87.01,3,Kathriguppe
2458,Kasavanhalli,1719.0,3.0,116.0,3,Kasavanhalli
2459,Budigere,664.0,1.0,35.0,1,Budigere
2460,Sonnenahalli,1011.0,2.0,50.53,2,Sonnenahalli
2461,other,1680.0,3.0,85.0,3,Basaveshwara Nagar Yelahanka
2462,Yeshwanthpur,717.0,2.0,49.475,2,Yeshwanthpur
2463,Uttarahalli,1350.0,2.0,53.0,3,Uttarahalli
2464,Pattandur Agrahara,875.0,2.0,33.0,2,Pattandur Agrahara
2465,Hennur,1231.0,2.0,48.0,2,Hennur
2466,Somasundara Palya,1174.0,2.0,74.0,2,Somasundara Palya
2467,Munnekollal,1560.0,3.0,75.0,3,Munnekollal
2468,other,1464.0,2.0,56.0,2,HOSUR MAIN ROAD
2469,Shivaji Nagar,850.0,2.0,55.0,2,Shivaji Nagar
2470,Devanahalli,1080.0,2.0,44.0,2,Devanahalli
2471,Electronic City,1020.0,2.0,29.46,2,Electronic City
2472,Begur Road,1500.0,2.0,55.0,3,Begur Road
2473,Uttarahalli,1175.0,2.0,47.0,2,Uttarahalli
2474,Channasandra,1030.0,2.0,34.5,2,Channasandra
2475,Hebbal,1440.0,2.0,115.0,2,Hebbal
2476,Hoodi,1500.0,2.0,84.0,2,Hoodi
2477,Thanisandra,1380.0,1.0,62.1,1,Thanisandra
2478,other,1200.0,2.0,50.0,2,Bagalur
2479,other,705.0,1.0,36.5,1,Vinayak Nagar
2480,Hegde Nagar,1584.01,3.0,103.0,3,Hegde Nagar
2481,other,1340.0,3.0,77.0,3,P Krishnappa Layout
2482,other,1800.0,3.0,70.0,3,Green Garden Layout
2483,R.T. Nagar,1200.0,2.0,45.0,2,R.T. Nagar
2484,Sarjapur  Road,685.0,1.0,40.0,1,Sarjapur  Road
2485,other,925.0,2.0,42.0,2,Kalkere
2486,other,1230.0,2.0,57.0,2,Crimson Layout
2487,Kodichikkanahalli,1125.0,2.0,52.0,2,Kodichikkanahalli
2488,Hebbal,1100.0,2.0,54.0,2,Hebbal
2489,Electronic City Phase II,1400.0,2.0,41.58,3,Electronic City Phase II
2490,Jakkur,1858.0,3.0,98.3,3,Jakkur
2491,other,1260.0,1.0,41.0,1,Adityanagar
2492,HSR Layout,1185.0,2.0,60.0,2,HSR Layout
2493,Hennur,1255.0,2.0,58.0,2,Hennur
2494,Kudlu Gate,1335.0,3.0,89.0,3,Kudlu Gate
2495,Kundalahalli,1397.0,3.0,110.0,3,Kundalahalli
2496,Chikka Tirupathi,1616.0,3.0,95.0,3,Chikka Tirupathi
2497,Raja Rajeshwari Nagar,1140.0,2.0,38.55,2,Raja Rajeshwari Nagar
2498,Kanakpura Road,525.0,1.0,30.0,1,Kanakpura Road
2499,Varthur,1200.0,2.0,98.0,3,Varthur
2500,Balagere,1205.47,2.0,81.0,2,Balagere
2501,Electronic City,1700.0,3.0,75.0,3,Electronic City
2502,Kanakpura Road,1090.0,2.0,54.54,2,Kanakpura Road
2503,Thanisandra,923.0,1.0,60.84,1,Thanisandra
2504,Green Glen Layout,1050.0,2.0,48.0,2,Green Glen Layout
2505,Whitefield,1495.0,2.0,79.5,2,Whitefield
2506,Hennur Road,1664.0,2.0,93.865,3,Hennur Road
2507,Narayanapura,1485.0,3.0,85.0,3,Narayanapura
2508,Dommasandra,1033.0,2.0,31.5,3,Dommasandra
2509,Electronic City,1400.0,2.0,48.0,3,Electronic City
2510,Sarjapur  Road,944.0,2.0,35.0,2,Sarjapur  Road
2511,Whitefield,1216.0,2.0,66.48,2,Whitefield
2512,other,1100.0,2.0,39.5,2,Thirumenahalli
2513,Thanisandra,1743.0,3.0,93.25,3,Thanisandra
2514,Yelahanka,1274.0,2.0,48.42,2,Yelahanka
2515,Mysore Road,1512.0,2.0,110.0,3,Mysore Road
2516,Cox Town,1650.0,3.0,100.0,3,Cox Town
2517,Doddathoguru,1875.0,3.0,55.0,3,Doddathoguru
2518,Whitefield,1350.0,3.0,54.0,3,Whitefield
2519,other,1219.0,2.0,40.0,2,Rajiv Gandhi Nagar
2520,Hormavu,1141.0,2.0,44.4,2,Hormavu
2521,Anandapura,1151.0,2.0,43.1,2,Anandapura
2522,Sarjapur  Road,915.0,2.0,38.0,2,Sarjapur  Road
2523,Bannerghatta Road,1115.0,2.0,65.12,2,Bannerghatta Road
2524,Kaggadasapura,1200.0,2.0,53.0,2,Kaggadasapura
2525,Singasandra,1300.0,2.0,65.0,2,Singasandra
2526,Bellandur,1457.0,2.0,85.0,2,Bellandur
2527,Kannamangala,1262.0,2.0,55.0,2,Kannamangala
2528,Ananth Nagar,900.0,2.0,22.5,2,Ananth Nagar
2529,Attibele,420.0,1.0,17.0,1,Attibele
2530,Kanakapura,1160.0,2.0,46.39,2,Kanakapura
2531,Kasavanhalli,1115.0,2.0,50.0,2,Kasavanhalli
2532,JP Nagar,1315.0,2.0,85.4,3,JP Nagar
2533,Babusapalaya,1500.0,2.0,57.0,2,Babusapalaya
2534,HSR Layout,1127.0,2.0,68.0,2,HSR Layout
2535,Kundalahalli,1397.0,3.0,104.0,3,Kundalahalli
2536,Whitefield,1173.0,2.0,60.0,2,Whitefield
2537,Sompura,1090.0,2.0,28.0,2,Sompura
2538,Jakkur,1230.0,2.0,76.0,2,Jakkur
2539,Sarjapur  Road,858.0,2.0,31.57,2,Sarjapur  Road
2540,Talaghattapura,1868.0,3.0,121.0,3,Talaghattapura
2541,Uttarahalli,1689.28,3.0,91.2,3,Uttarahalli
2542,Banashankari,1425.0,3.0,49.88,3,Banashankari
2543,Tindlu,1350.0,2.0,100.0,2,Tindlu
2544,Uttarahalli,1310.0,2.0,85.0,3,Uttarahalli
2545,other,970.0,2.0,40.0,2,MLA Layout
2546,Kundalahalli,1397.0,3.0,108.0,3,Kundalahalli
2547,Sarjapur,1157.0,2.0,40.0,2,Sarjapur
2548,Kasavanhalli,1125.0,2.0,61.2,2,Kasavanhalli
2549,Sonnenahalli,1157.0,2.0,42.0,2,Sonnenahalli
2550,Sarjapur  Road,1241.0,2.0,82.0,2,Sarjapur  Road
2551,other,596.0,1.0,42.0,1,Venkatadri Layout
2552,Brookefield,1139.0,2.0,80.0,2,Brookefield
2553,Sarjapura - Attibele Road,1033.0,2.0,28.41,2,Sarjapura - Attibele Road
2554,Yeshwanthpur,1168.0,2.0,64.08,2,Yeshwanthpur
2555,Chandapura,877.0,2.0,42.0,2,Chandapura
2556,Electronics City Phase 1,1340.0,2.0,75.0,2,Electronics City Phase 1
2557,other,1405.0,2.0,70.0,3,B Narayanapura
2558,other,1800.0,3.0,65.0,3,Siddapura
2559,other,1360.0,2.0,65.0,3,Motappa Layout
2560,other,985.0,2.0,63.0,2,Byrasandra
2561,7th Phase JP Nagar,1850.0,3.0,150.0,3,7th Phase JP Nagar
2562,other,1490.0,2.0,88.0,3,Rustam Bagh Layout
2563,other,620.0,1.0,25.0,2,Byagadadhenahalli
2564,Hormavu,1130.0,2.0,42.3,2,Hormavu
2565,Yelachenahalli,1080.0,2.0,55.0,2,Yelachenahalli
2566,Begur Road,1410.0,2.0,52.17,3,Begur Road
2567,Bommanahalli,1375.0,3.0,59.0,3,Bommanahalli
2568,Hennur Road,1290.0,2.0,94.5,3,Hennur Road
2569,Hosa Road,1318.0,2.0,85.28,3,Hosa Road
2570,Electronic City,1128.0,2.0,68.0,2,Electronic City
2571,Kanakpura Road,1051.0,2.0,56.74,2,Kanakpura Road
2572,Yelahanka,1327.0,2.0,85.0,2,Yelahanka
2573,other,1301.0,2.0,55.0,2,Basapura
2574,other,650.0,1.0,30.0,1,Thippasandra
2575,Varthur,1200.0,3.0,67.75,3,Varthur
2576,other,1500.0,2.0,89.99,3,Banagiri Nagar
2577,Electronic City Phase II,1000.0,2.0,28.88,2,Electronic City Phase II
2578,Sarjapur  Road,984.0,2.0,45.91,2,Sarjapur  Road
2579,Hebbal,1355.0,3.0,83.87,3,Hebbal
2580,Kaggadasapura,1118.0,2.0,30.0,2,Kaggadasapura
2581,other,910.0,1.0,42.0,1,Roopena Agrahara
2582,other,1250.0,3.0,39.0,3,Madiwala
2583,Hosakerehalli,1304.0,2.0,100.0,2,Hosakerehalli
2584,Begur Road,1615.0,3.0,58.0,3,Begur Road
2585,Sarjapur  Road,1400.0,2.0,68.0,2,Sarjapur  Road
2586,CV Raman Nagar,1070.0,2.0,47.5,2,CV Raman Nagar
2587,Hoodi,1132.0,2.0,89.37,2,Hoodi
2588,Sector 2 HSR Layout,794.0,1.0,65.0,1,Sector 2 HSR Layout
2589,Raja Rajeshwari Nagar,1090.0,2.0,43.59,2,Raja Rajeshwari Nagar
2590,Gottigere,1500.0,3.0,70.0,3,Gottigere
2591,Kanakpura Road,525.0,1.0,30.0,1,Kanakpura Road
2592,Bhoganhalli,1447.0,2.0,75.97,2,Bhoganhalli
2593,Whitefield,1269.0,2.0,75.0,2,Whitefield
2594,Kanakpura Road,1070.0,2.0,37.45,2,Kanakpura Road
2595,Talaghattapura,1150.0,2.0,28.0,2,Talaghattapura
2596,Marathahalli,1208.0,2.0,70.0,2,Marathahalli
2597,Ramamurthy Nagar,1185.0,2.0,45.5,2,Ramamurthy Nagar
2598,Anekal,888.0,2.0,34.0,2,Anekal
2599,Chandapura,1015.0,2.0,25.88,2,Chandapura
